benchmark,model,baseline,is_rate,delta_pp,ci_low_pp,ci_high_pp,p_mcnemar,n_paired
truthfulqa,Mistral 12B,react,86.11111111111111,22.22222222222222,8.333333333333332,38.88888888888889,0.021484375,36
truthfulqa,Mistral 12B,selfcheckgpt,86.11111111111111,12.121212121212121,0.0,27.27272727272727,0.21875,33
truthfulqa,Mistral 12B,tot,86.11111111111111,30.434782608695656,13.043478260869565,47.82608695652174,0.015625,23
truthfulqa,Qwen 7B,direct,77.77777777777779,13.88888888888889,2.7777777777777777,25.0,0.0625,36
truthfulqa,Qwen 7B,self_refine,77.77777777777779,41.66666666666667,25.0,58.333333333333336,0.000274658203125,36
truthfulqa,Qwen 7B,reflexion,77.77777777777779,8.333333333333332,-2.7777777777777777,19.444444444444446,0.375,36
truthfulqa,Qwen 7B,full_regen,77.77777777777779,19.444444444444446,8.333333333333332,33.33333333333333,0.015625,36
truthfulqa,Qwen 7B,react,77.77777777777779,25.0,11.11111111111111,38.88888888888889,0.00390625,36
truthfulqa,Qwen 7B,selfcheckgpt,77.77777777777779,11.11111111111111,2.7777777777777777,22.22222222222222,0.125,36
truthfulqa,Qwen 7B,tot,77.77777777777779,33.33333333333333,0.0,66.66666666666666,0.25,9
twowiki,Llama 8B,direct,93.33333333333333,6.666666666666667,1.6666666666666667,13.333333333333334,0.125,60
twowiki,Llama 8B,self_refine,93.33333333333333,16.666666666666664,8.333333333333332,26.666666666666668,0.001953125,60
twowiki,Llama 8B,reflexion,93.33333333333333,0.0,-5.0,5.0,1.0,60
twowiki,Llama 8B,full_regen,93.33333333333333,15.0,5.0,25.0,0.01171875,60
twowiki,Llama 8B,react,93.33333333333333,16.666666666666664,6.666666666666667,26.666666666666668,0.00634765625,60
twowiki,Llama 8B,selfcheckgpt,93.33333333333333,26.666666666666668,16.666666666666664,38.333333333333336,3.0517578125e-05,60
twowiki,Llama 8B,tot,93.33333333333333,13.333333333333334,3.3333333333333335,23.333333333333332,0.021484375,60
twowiki,Llama 70B,direct,96.66666666666667,0.0,0.0,0.0,1.0,60
twowiki,Llama 70B,self_refine,96.66666666666667,5.0,0.0,11.666666666666666,0.25,60
twowiki,Llama 70B,reflexion,96.66666666666667,0.0,0.0,0.0,1.0,60
twowiki,Llama 70B,full_regen,96.66666666666667,1.6666666666666667,-3.3333333333333335,8.333333333333332,1.0,60
twowiki,Llama 70B,react,96.66666666666667,1.6666666666666667,0.0,5.0,1.0,60
twowiki,Llama 70B,selfcheckgpt,96.66666666666667,3.3333333333333335,0.0,8.333333333333332,0.5,60
twowiki,Llama 70B,tot,96.66666666666667,6.666666666666667,1.6666666666666667,13.333333333333334,0.125,60
twowiki,Mistral 12B,direct,96.66666666666667,5.0,0.0,11.666666666666666,0.25,60
twowiki,Mistral 12B,self_refine,96.66666666666667,10.0,3.3333333333333335,18.333333333333332,0.03125,60
twowiki,Mistral 12B,reflexion,96.66666666666667,1.6666666666666667,-3.3333333333333335,8.333333333333332,1.0,60
twowiki,Mistral 12B,full_regen,96.66666666666667,6.666666666666667,1.6666666666666667,13.333333333333334,0.125,60
twowiki,Mistral 12B,react,96.66666666666667,10.0,1.6666666666666667,20.0,0.0703125,60
twowiki,Mistral 12B,selfcheckgpt,96.66666666666667,6.779661016949152,1.694915254237288,13.559322033898304,0.125,59
twowiki,Mistral 12B,tot,96.66666666666667,3.9215686274509802,-3.9215686274509802,11.76470588235294,0.625,51
twowiki,Qwen 7B,direct,94.91525423728814,13.559322033898304,3.389830508474576,23.728813559322035,0.021484375,59
twowiki,Qwen 7B,self_refine,94.91525423728814,15.254237288135593,5.084745762711865,25.423728813559322,0.01171875,59
twowiki,Qwen 7B,reflexion,94.91525423728814,3.389830508474576,-3.389830508474576,10.16949152542373,0.625,59
twowiki,Qwen 7B,full_regen,94.91525423728814,10.16949152542373,3.389830508474576,18.64406779661017,0.03125,59
